2019-08-23 @ 20:25:16 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:27:18 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:29:20 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:31:21 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:33:23 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:35:24 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:37:26 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:39:28 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:41:29 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:43:31 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:45:32 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:47:34 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:49:36 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:51:37 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:53:39 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:55:40 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:57:42 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:59:43 | Data Collected, sleeping for 2 mins
2019-08-23 @ 21:01:45 | Data Collected, sleeping for 2 mins
2019-08-23 @ 21:03:45 | log run complete
2019-08-24 @ 11:30:02 | Starting Script
2019-08-24 @ 11:30:03 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:32:05 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:34:07 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:36:08 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:38:10 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:40:12 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:42:13 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:44:15 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:46:16 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:48:18 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:50:19 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:52:21 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:54:22 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:56:24 | Data Collected, sleeping for 2 mins
2019-08-24 @ 11:58:26 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:00:27 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:02:29 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:04:30 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:06:32 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:08:34 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:10:35 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:12:37 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:14:38 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:16:40 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:18:42 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:20:43 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:22:45 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:24:47 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:26:48 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:28:50 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:30:51 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:32:53 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:34:55 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:36:56 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:38:58 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:41:00 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:43:01 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:45:03 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:47:04 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:49:06 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:51:08 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:53:09 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:55:11 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:57:13 | Data Collected, sleeping for 2 mins
2019-08-24 @ 12:59:14 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:01:16 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:03:17 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:05:19 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:07:21 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:09:22 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:11:24 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:13:25 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:15:27 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:17:29 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:19:30 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:21:32 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:23:33 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:25:35 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:27:37 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:29:38 | Data Collected, sleeping for 2 mins
2019-08-24 @ 13:31:38 | log run complete
2019-08-24 @ 14:00:01 | Starting Script
2019-08-24 @ 14:00:03 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:02:05 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:04:06 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:06:08 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:08:10 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:10:11 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:12:13 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:14:14 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:16:16 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:18:17 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:20:19 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:22:20 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:24:22 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:26:24 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:28:25 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:30:27 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:32:28 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:34:30 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:36:32 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:38:33 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:40:35 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:42:36 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:44:38 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:46:39 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:48:41 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:50:43 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:52:44 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:54:46 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:56:47 | Data Collected, sleeping for 2 mins
2019-08-24 @ 14:58:49 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:00:50 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:02:52 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:04:53 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:06:55 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:08:57 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:10:58 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:13:00 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:15:01 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:17:03 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:19:05 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:21:06 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:23:08 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:25:10 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:27:11 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:29:13 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:31:15 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:33:16 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:35:18 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:37:19 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:39:21 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:41:22 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:43:24 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:45:26 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:47:27 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:49:29 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:51:30 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:53:32 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:55:34 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:57:35 | Data Collected, sleeping for 2 mins
2019-08-24 @ 15:59:37 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:01:37 | log run complete
2019-08-24 @ 16:30:02 | Starting Script
2019-08-24 @ 16:30:04 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:32:05 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:34:07 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:36:08 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:38:10 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:40:12 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:42:13 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:44:15 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:46:16 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:48:18 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:50:19 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:52:21 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:54:22 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:56:24 | Data Collected, sleeping for 2 mins
2019-08-24 @ 16:58:26 | Data Collected, sleeping for 2 mins
2019-08-24 @ 17:00:27 | Data Collected, sleeping for 2 mins
2019-08-24 @ 17:02:29 | Data Collected, sleeping for 2 mins
2019-08-24 @ 17:04:30 | Data Collected, sleeping for 2 mins
2019-08-24 @ 17:06:32 | Data Collected, sleeping for 2 mins
